index,Date,Amount,Department
109,2021-02,217212.55000000002,Agricultural Experiment Sta
110,2021-03,213078.76,Agricultural Experiment Sta
111,2021-04,278569.41,Agricultural Experiment Sta
112,2021-05,256153.06,Agricultural Experiment Sta
113,2021-06,194843.57,Agricultural Experiment Sta
114,2021-07,150950.62,Agricultural Experiment Sta
115,2021-08,348144.09,Agricultural Experiment Sta
116,2021-09,422407.42,Agricultural Experiment Sta
117,2021-10,163072.21,Agricultural Experiment Sta
118,2021-11,226166.13,Agricultural Experiment Sta
119,2021-12,172982.74,Agricultural Experiment Sta
120,2022-01,235684.71,Agricultural Experiment Sta
121,2022-02,184354.35,Agricultural Experiment Sta
122,2022-03,248627.88999999998,Agricultural Experiment Sta
123,2022-04,200042.63,Agricultural Experiment Sta
124,2022-05,296929.77999999997,Agricultural Experiment Sta
125,2022-06,161998.97,Agricultural Experiment Sta
126,2022-07,136975.95,Agricultural Experiment Sta
127,2022-08,195931.13999999998,Agricultural Experiment Sta
128,2022-09,244187.71,Agricultural Experiment Sta
129,2022-10,346160.67,Agricultural Experiment Sta
130,2022-11,248980.48,Agricultural Experiment Sta
131,2022-12,768652.3300000001,Agricultural Experiment Sta
132,2023-01,212390.18,Agricultural Experiment Sta
133,2023-02,306755.05,Agricultural Experiment Sta
134,2023-03,313039.78,Agricultural Experiment Sta
135,2023-04,325507.62,Agricultural Experiment Sta
136,2023-05,137703.88999999998,Agricultural Experiment Sta
137,2023-06,151289.53,Agricultural Experiment Sta
138,2023-07,177547.26,Agricultural Experiment Sta
139,2023-08,319963.82,Agricultural Experiment Sta
140,2023-09,238733.1,Agricultural Experiment Sta
141,2023-10,368332.91,Agricultural Experiment Sta
142,2023-11,287233.49,Agricultural Experiment Sta
143,2023-12,523119.99,Agricultural Experiment Sta
144,2024-01,223622.7,Agricultural Experiment Sta
145,2024-02,223622.7,Agricultural Experiment Sta
146,2024-03,223622.7,Agricultural Experiment Sta
147,2024-04,223622.7,Agricultural Experiment Sta
148,2024-05,223622.7,Agricultural Experiment Sta
149,2024-06,223622.7,Agricultural Experiment Sta
150,2024-07,223622.7,Agricultural Experiment Sta
151,2024-08,223622.7,Agricultural Experiment Sta
152,2024-09,223622.7,Agricultural Experiment Sta
153,2024-10,223622.7,Agricultural Experiment Sta
154,2024-11,223622.7,Agricultural Experiment Sta
155,2024-12,223622.7,Agricultural Experiment Sta
156,2025-01,223622.7,Agricultural Experiment Sta
157,2025-02,223622.7,Agricultural Experiment Sta
158,2025-03,223622.7,Agricultural Experiment Sta
159,2025-04,223622.7,Agricultural Experiment Sta
160,2025-05,223622.7,Agricultural Experiment Sta
161,2025-06,223622.7,Agricultural Experiment Sta
162,2025-07,223622.7,Agricultural Experiment Sta
163,2025-08,223622.7,Agricultural Experiment Sta
164,2025-09,223622.7,Agricultural Experiment Sta
165,2025-10,223622.7,Agricultural Experiment Sta
166,2025-11,223622.7,Agricultural Experiment Sta
167,2025-12,223622.7,Agricultural Experiment Sta
0,2012-01,7588.73,Attorney General's Office
1,2012-02,432308.15,Attorney General's Office
2,2012-03,291575.36,Attorney General's Office
3,2012-04,210921.72,Attorney General's Office
4,2012-05,179980.31,Attorney General's Office
5,2012-06,377078.83,Attorney General's Office
